dep,title,gen,tenure,setting,nps.cat,variable,value
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,solitide,Good
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Excellent
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Poor
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,solitide,Excellent
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,solitide,Poor
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Fair
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Poor
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,solitide,Poor
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,solitide,Poor
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,solitide,Poor
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,solitide,Poor
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,solitide,Poor
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,solitide,Poor
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,solitide,Good
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,solitide,Poor
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Fair
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,solitide,Poor
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,solitide,Excellent
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,solitide,Poor
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Fair
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,solitide,Good
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,solitide,Fair
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,solitide,Fair
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,solitide,Fair
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Fair
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Good
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Poor
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,solitide,Fair
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,solitide,Poor
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,solitide,Fair
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,solitide,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,solitide,Fair
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,solitide,Fair
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,solitide,Fair
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,solitide,Poor
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,solitide,Poor
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,solitide,Good
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Poor
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,solitide,Poor
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,solitide,Fair
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,solitide,Fair
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,solitide,Excellent
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,solitide,Fair
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,solitide,Fair
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Fair
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,solitide,Fair
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,solitide,Good
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,solitide,Good
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Poor
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,solitide,Fair
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Fair
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,solitide,Fair
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,solitide,Poor
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,solitide,Fair
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,solitide,Poor
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,solitide,Fair
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,solitide,Fair
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,solitide,Poor
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,solitide,Fair
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,solitide,Good
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,solitide,Poor
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,solitide,Good
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,solitide,Poor
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,solitide,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,solitide,Poor
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,solitide,Fair
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,solitide,Fair
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,solitide,Poor
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,solitide,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,solitide,Poor
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,solitide,Poor
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,solitide,Poor
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,inspiring,Strongly Disagree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,inspiring,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Agree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,inspiring,Disagree
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,inspiring,Disagree
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Disagree
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,inspiring,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,inspiring,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,inspiring,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,inspiring,Disagree
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,inspiring,Disagree
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,inspiring,Agree
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,inspiring,Disagree
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,inspiring,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Strongly Disagree
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,inspiring,Agree
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,inspiring,Strongly Disagree
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,inspiring,Agree
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,inspiring,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,inspiring,Strongly Agree
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,inspiring,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,inspiring,Disagree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,inspiring,Agree
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,inspiring,Disagree
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,inspiring,Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Strongly Agree
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,inspiring,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,inspiring,Disagree
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,inspiring,Strongly Disagree
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,inspiring,Agree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Agree
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,inspiring,Strongly Agree
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,inspiring,Disagree
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,inspiring,Disagree
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Agree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,inspiring,Disagree
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,inspiring,Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,inspiring,Disagree
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,inspiring,Disagree
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,inspiring,Disagree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,inspiring,Strongly Disagree
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,inspiring,Disagree
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,inspiring,Agree
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,inspiring,Agree
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,inspiring,Disagree
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,inspiring,Agree
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Disagree
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,inspiring,Disagree
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,inspiring,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,inspiring,Disagree
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,inspiring,Disagree
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,inspiring,Disagree
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,inspiring,Agree
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,inspiring,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,inspiring,Disagree
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,inspiring,Agree
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,inspiring,Disagree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Agree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,inspiring,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,inspiring,Agree
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,inspiring,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,inspiring,Disagree
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,inspiring,Agree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,inspiring,Agree
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,inspiring,Agree
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,inspiring,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,invests,Strongly Disagree
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,invests,Disagree
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,invests,Strongly Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Agree
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,invests,Strongly Disagree
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,invests,Disagree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,invests,Strongly Disagree
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,invests,Agree
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,invests,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,invests,Disagree
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,invests,Disagree
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Agree
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,invests,Disagree
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,invests,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Disagree
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,invests,Disagree
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Agree
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,invests,Disagree
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,invests,Agree
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,invests,Disagree
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,invests,Disagree
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,invests,Agree
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,invests,Strongly Agree
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,invests,Disagree
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,invests,Disagree
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,invests,Agree
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,invests,Disagree
