dep,title,gen,tenure,setting,nps.cat,variable,value
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,ind,50
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,ind,50
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,ind,75
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,ind,75
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,ind,60
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,ind,65
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,ind,75
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,ind,30
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,ind,85
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,ind,50
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,ind,40
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,ind,60
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,ind,50
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,ind,80
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,50
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,ind,50
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,ind,25
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,ind,85
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,ind,10
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,ind,70
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,ind,50
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,others,25
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,others,25
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,others,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,others,50
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,others,50
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,others,30
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,others,20
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,others,30
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,others,60
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,others,40
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,others,50
