"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"collaboratingeasy","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"collaboratingeasy","Agree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"collaboratingeasy","Strongly Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"collaboratingeasy","Disagree"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"collaboratingeasy","Strongly Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"collaboratingeasy","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"collaboratingeasy","Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"collaboratingeasy","Strongly Disagree"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"collaboratingeasy","Disagree"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"collaboratingeasy","Strongly Disagree"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"collaboratingeasy","Strongly Agree"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"collaboratingeasy","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"collaboratingeasy","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"collaboratingeasy","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"collaboratingeasy","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"collaboratingeasy","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"collaboratingeasy","Agree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"collaboratingeasy","Strongly Agree"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"collaboratingeasy","Disagree"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"collaboratingeasy","Disagree"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"collaboratingeasy","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"collaboratingeasy","Agree"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"collaboratingeasy","Agree"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"collaboratingeasy","Agree"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"collaboratingeasy","Agree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"collaboratingeasy","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"collaboratingeasy","Agree"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"collaboratingeasy","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"collaboratingeasy","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"collaboratingeasy","Disagree"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"collaboratingeasy","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"collaboratingeasy","Strongly Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"collaboratingeasy","Strongly Agree"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"collaboratingeasy","Disagree"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"collaboratingeasy","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"collaboratingeasy","Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"collaboratingeasy","Agree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"collaboratingeasy","Agree"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"collaboratingeasy","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"collaboratingeasy","Disagree"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"collaboratingeasy","Agree"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"collaboratingeasy","Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"collaboratingeasy","Disagree"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"collaboratingeasy","Disagree"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"collaboratingeasy","Agree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"collaboratingeasy","Agree"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"collaboratingeasy","Disagree"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"collaboratingeasy","Agree"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"collaboratingeasy","Agree"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"collaboratingeasy","Disagree"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"collaboratingeasy","Agree"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"collaboratingeasy","Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"collaboratingeasy","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"collaboratingeasy","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"collaboratingeasy","Agree"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"collaboratingeasy","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"collaboratingeasy","Agree"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"collaboratingeasy","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"collaboratingeasy","Disagree"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"collaboratingeasy","Agree"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"collaboratingeasy","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"gather","Strongly Disagree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"gather","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"gather","Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"gather","Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"gather","Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"gather","Agree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"gather","Disagree"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"gather","Disagree"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"gather","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"gather","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"gather","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"gather","Strongly Agree"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"gather","Disagree"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"gather","Agree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"gather","Disagree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"gather","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"gather","Disagree"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"gather","Agree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"gather","Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"gather","Disagree"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"gather","Disagree"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"gather","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"gather","Agree"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"gather","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"gather","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"gather","Agree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"gather","Disagree"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"gather","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"gather","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"gather","Disagree"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"gather","Agree"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"gather","Agree"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"gather","Disagree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"gather","Strongly Agree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"gather","Disagree"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"gather","Disagree"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"gather","Strongly Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"gather","Agree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"gather","Disagree"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"gather","Agree"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"gather","Strongly Disagree"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"gather","Agree"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"gather","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"gather","Disagree"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"gather","Strongly Agree"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"gather","Disagree"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"gather","Disagree"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"gather","Disagree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"gather","Strongly Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"gather","Disagree"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"gather","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"gather","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"gather","Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"gather","Disagree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"gather","Strongly Disagree"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"gather","Strongly Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"gather","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"gather","Disagree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"gather","Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"gather","Strongly Disagree"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"gather","Agree"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"gather","Disagree"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"gather","Agree"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"gather","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"gather","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"gather","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"gather","Agree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"gather","Agree"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"gather","Disagree"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"gather","Strongly Agree"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"gather","Disagree"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"gather","Disagree"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"gather","Disagree"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"gather","Disagree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"gather","Disagree"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"gather","Agree"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"gather","Disagree"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"gather","Disagree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"gather","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"gather","Agree"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"gather","Strongly Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"gather","Agree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"gather","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"gather","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"gather","Agree"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"gather","Agree"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"gather","Disagree"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"gather","Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"gather","Strongly Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"gather","Strongly Agree"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"gather","Agree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"gather","Agree"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"gather","Agree"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"gather","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"gather","Agree"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"gather","Disagree"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"gather","Disagree"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"gather","Disagree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"gather","Agree"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"gather","Agree"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"gather","Disagree"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"gather","Disagree"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"gather","Disagree"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"gather","Disagree"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"gather","Disagree"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"gather","Disagree"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"gather","Agree"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"gather","Disagree"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"gather","Agree"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"gather","Agree"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"gather","Agree"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"gather","Agree"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"gather","Agree"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"gather","Disagree"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"gather","Agree"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"gather","Disagree"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"gather","Agree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"gather","Disagree"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"gather","Agree"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"gather","Disagree"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"gather","Disagree"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"gather","Agree"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"gather","Disagree"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"gather","Agree"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"gather","Agree"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"healthandwellbeing","Strongly Disagree"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"healthandwellbeing","Agree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"healthandwellbeing","Agree"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"healthandwellbeing","Disagree"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"healthandwellbeing","Disagree"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"healthandwellbeing","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"healthandwellbeing","Disagree"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"healthandwellbeing","Strongly Disagree"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"healthandwellbeing","Disagree"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"healthandwellbeing","Strongly Disagree"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"healthandwellbeing","Disagree"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"healthandwellbeing","Agree"
